age,income,will_buy
25,30000,0
35,40000,1
45,60000,1
30,35000,0
50,80000,1
28,32000,0
40,45000,1
55,70000,1
32,38000,0
48,75000,1
22,28000,0
39,42000,1
41,49000,1
29,33000,0
33,37000,0
46,58000,1
34,39000,1
36,41000,1
47,62000,1
55,80000,1
26,31000,0
38,48000,1
42,55000,1
51,78000,1
29,34000,0
32,36000,0
37,42000,1
53,65000,1
48,72000,1
27,33000,0
30,38000,0
52,77000,1
31,37000,0
44,59000,1
43,56000,1
35,40000,1
49,78000,1
26,32000,0
34,38000,1
40,49000,1
42,51000,1
51,75000,1
31,36000,0
48,68000,1
54,77000,1
56,81000,1
29,34000,0
37,43000,1
27,32000,0
39,48000,1
45,58000,1
28,33000,0
36,42000,1
53,67000,1
34,37000,1
49,74000,1
30,35000,0
35,43000,1
43,54000,1
52,78000,1
26,30000,0
38,45000,1
47,59000,1
28,34000,0
41,48000,1
44,56000,1
31,36000,0
37,43000,1
55,72000,1
33,38000,1
46,61000,1
49,74000,1
32,38000,0
30,35000,0
38,48000,1
35,40000,1
45,59000,1
41,51000,1
23,29000,0
33,40000,1
48,64000,1
40,50000,1
53,69000,1
42,52000,1
51,76000,1
29,36000,0
26,30000,0
37,45000,1
32,37000,0
34,39000,1
50,77000,1
48,71000,1
35,42000,1
45,57000,1
31,35000,0
39,49000,1